Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,"How Many Services (Kenswitch, Mastercard, Pesa Point, Visa) Does the ATM Offer?",How Many Machines are Located at the ATM Booth?
Stand alone ATM,2015/03/23 08:39:28 AM,2015/03/23 08:43:30 AM,NAIROBI,-1.2053,36.91769,8,Financial,Stand alone ATM,2014/01/01,4,2
Stand alone ATM,2015/03/23 09:12:33 AM,2015/03/23 09:24:51 AM,NAIROBI,-1.25792,36.9224,4,Financial,Stand alone ATM,2013/09/01,1,1
Stand alone ATM,2015/03/23 09:51:38 AM,2015/03/23 09:59:08 AM,MOMBASA,-4.02712,39.62733,5,Financial,Stand alone ATM,2015/01/15,3,1
Stand alone ATM,2015/03/23 11:24:40 AM,2015/03/23 11:27:25 AM,NAIROBI,-1.30166,36.88829,9,Financial,Stand alone ATM,2012/01/01,3,1
Stand alone ATM,2015/03/23 11:45:42 AM,2015/03/23 11:50:23 AM,NAIROBI,-1.32695,36.7889,5,Financial,Stand alone ATM,2013/03/04,4,1
Stand alone ATM,2015/03/23 12:00:19 PM,2015/03/23 12:03:28 PM,NAIROBI,-1.30167,36.88859,11,Financial,Stand alone ATM,2007/01/01,2,1
Stand alone ATM,2015/03/23 12:17:37 PM,2015/03/23 12:23:20 PM,NAIROBI,-1.32711,36.78921,8,Financial,Stand alone ATM,2012/12/24,4,1
Stand alone ATM,2015/03/23 12:23:46 PM,2015/03/23 12:27:38 PM,NAIROBI,-1.32725,36.7893,8,Financial,Stand alone ATM,2014/10/10,4,1
Stand alone ATM,2015/03/23 12:28:15 PM,2015/03/23 12:33:38 PM,NAIROBI,-1.32694,36.78953,8,Financial,Stand alone ATM,2014/01/04,2,1
Stand alone ATM,2015/03/23 12:41:49 PM,2015/03/23 12:52:23 PM,NAIROBI,-1.32752,36.78913,13,Financial,Stand alone ATM,2013/02/25,2,1
