County,GPS Latitude,GPS Longitude
KISUMU,-0.098,34.762240000000006
NAIROBI,-1.34333,36.76415
NAIROBI,-1.29624,36.88678
NAIROBI,-1.30134,36.77998
NAIROBI,-1.28338,36.82215
NAIROBI,-1.27978,36.77022
NAIROBI,-1.27986,36.77016
NAIROBI,-1.2797399999999999,36.769690000000004
MOMBASA,-4.002330000000001,39.70601
NAIROBI,-1.29217,36.81354
NAIROBI,-1.2922200000000001,36.81357
NAIROBI,-1.3258299999999998,36.791709999999995
NAIROBI,-1.3258,36.79091
NAIROBI,-1.3273700000000002,36.78921
NAIROBI,-1.26144,36.80243
KAJIADO,-1.36312,36.65616
NAIROBI,-1.29855,36.762570000000004
NAIROBI,-1.26184,36.80202
NAIROBI,-1.3222,36.70824
NAIROBI,-1.3003,36.82338
UASIN GISHU,0.51265,35.28096
UASIN GISHU,0.51254,35.28087
KIAMBU,-1.17249,36.75837
KIAMBU,-1.24991,36.69407
NAIROBI,-1.30126,36.82485
NAIROBI,-1.30115,36.82496
NAIROBI,-1.30116,36.82506
KIAMBU,-1.17248,36.75835
KIAMBU,-1.17264,36.7584
NAIROBI,-1.29548,36.8017
NAIROBI,-1.30145,36.82598
KIAMBU,-1.17282,36.75857
NAIROBI,-1.23302,36.87397
NAIROBI,-1.29291,36.78745
NAIROBI,-1.28512,36.82975
NAIROBI,-1.29312,36.78785
NAIROBI,-1.2932700000000001,36.78842
NAIROBI,-1.29311,36.78736
NAIROBI,-1.2974299999999999,36.7924
NAIROBI,-1.29388,36.78748
KIAMBU,-1.24486,36.66216
NAIROBI,-1.2928600000000001,36.78732
NAIROBI,-1.29298,36.78733
NAIROBI,-1.25936,36.779759999999996
NAIROBI,-1.2595399999999999,36.77984
UASIN GISHU,0.28225,35.29487
NAIROBI,-1.2595100000000001,36.77987
UASIN GISHU,0.2824,35.29488
NAIROBI,-1.25947,36.77985
NAIROBI,-1.3218,36.8697
NAIROBI,-1.2595100000000001,36.77791
NAIROBI,-1.28101,36.90546
NAIROBI,-1.28024,36.81669
NAIROBI,-1.28149,36.81705
NAIROBI,-1.25949,36.77748
NAIROBI,-1.28164,36.81752
NAIROBI,-1.26716,36.81167
MACHAKOS,-1.51975,37.267379999999996
NAIROBI,-1.23902,36.81147
NAIROBI,-1.22902,36.80473
KIAMBU,-1.2484,36.67559
NAIROBI,-1.22936,36.8049
NAIROBI,-1.22927,36.804990000000004
NAIROBI,-1.22935,36.804959999999994
NAIROBI,-1.22926,36.80492
NAIROBI,-1.22843,36.80595
NAIROBI,-1.22842,36.80598
NAKURU,-0.37024,35.94327
NAKURU,-0.71426,36.430609999999994
KIAMBU,-1.25204,36.68812
MARSABET,2.33353,37.98975
KIAMBU,-1.10944,36.6431
NAIROBI,-1.2585,36.80437
KIAMBU,-1.05903,36.77462
KIAMBU,-1.17279,36.75868
KIAMBU,-1.14846,36.96096
NAIROBI,-1.324,36.70825
NAIROBI,-1.3240100000000001,36.708259999999996
NAIROBI,-1.3009600000000001,36.78764
NAIROBI,-1.25575,36.81769
NAIROBI,-1.28783,36.74171
KIAMBU,-1.03671,37.074709999999996
NAIROBI,-1.2621,36.82313
NAIROBI,-1.32991,36.889309999999995
NAIROBI,-1.32998,36.889340000000004
NAIROBI,-1.32997,36.88935
KISUMU,-0.10849,34.77049
KISUMU,-0.08117,34.728640000000006
KISUMU,-0.08169,34.72842
